t	u_avg	u_sdev	d-g0n0	g0n0	d-g0n2	g0n2	d-g0n4	g0n4	d-g0n5	g0n5	d-g0n9	g0n9	d-g0n10	g0n10	d-g0n11	g0n11	d-g0n14	g0n14	d-g0n17	g0n17	d-g1n2	g1n2	d-g1n3	g1n3	d-g1n7	g1n7	d-g1n9	g1n9	d-g1n10	g1n10	d-g1n12	g1n12	d-g1n16	g1n16	d-g1n18	g1n18	d-g2n0	g2n0	d-g2n1	g2n1	d-g2n3	g2n3	d-g2n4	g2n4	d-g2n6	g2n6	d-g2n13	g2n13	d-g2n16	g2n16	d-g2n17	g2n17	d-g2n19	g2n19	d-g3n0	g3n0	d-g3n6	g3n6	d-g3n8	g3n8	d-g3n12	g3n12	d-g3n13	g3n13	d-g3n14	g3n14	d-g3n15	g3n15	d-g3n16	g3n16	d-g3n18	g3n18	d-g3n19	g3n19	d-g4n0	g4n0	d-g4n1	g4n1	d-g4n4	g4n4	d-g4n5	g4n5	d-g4n7	g4n7	d-g4n9	g4n9	d-g4n11	g4n11	d-g4n14	g4n14	d-g4n17	g4n17	d-g4n18	g4n18	d-g5n1	g5n1	d-g5n6	g5n6	d-g5n7	g5n7	d-g5n8	g5n8	d-g5n10	g5n10	d-g5n11	g5n11	d-g5n13	g5n13	d-g5n14	g5n14	d-g5n15	g5n15	d-g5n18	g5n18	d-g5n19	g5n19	d-g6n2	g6n2	d-g6n3	g6n3	d-g6n4	g6n4	d-g6n7	g6n7	d-g6n8	g6n8	d-g6n10	g6n10	d-g6n11	g6n11	d-g6n13	g6n13	d-g6n14	g6n14	d-g6n15	g6n15	d-g6n16	g6n16	d-g6n18	g6n18	d-g7n2	g7n2	d-g7n3	g7n3	d-g7n4	g7n4	d-g7n5	g7n5	d-g7n6	g7n6	d-g7n7	g7n7	d-g7n9	g7n9	d-g7n10	g7n10	d-g7n12	g7n12	d-g7n16	g7n16	d-g7n19	g7n19	d-g8n0	g8n0	d-g8n1	g8n1	d-g8n3	g8n3	d-g8n5	g8n5	d-g8n6	g8n6	d-g8n8	g8n8	d-g8n12	g8n12	d-g8n15	g8n15	d-g8n17	g8n17	d-g9n1	g9n1	d-g9n2	g9n2	d-g9n5	g9n5	d-g9n8	g9n8	d-g9n9	g9n9	d-g9n11	g9n11	d-g9n12	g9n12	d-g9n13	g9n13	d-g9n15	g9n15	d-g9n17	g9n17	d-g9n19	g9n19	
10	1.00	0.00	2	2	0	0	1	1	7	7	0	0	1	1	2	2	4	4	4	4	3	3	0	0	5	5	7	7	4	4	8	8	5	5	3	3	2	2	8	8	4	4	6	6	5	5	5	5	4	4	0	0	7	7	2	2	5	5	6	6	8	8	2	2	0	0	4	4	6	6	1	1	8	8	8	8	8	8	5	5	4	4	7	7	6	6	2	2	4	4	4	4	7	7	2	2	4	4	4	4	3	3	2	2	3	3	4	4	7	7	0	0	2	2	5	5	6	6	0	0	8	8	7	7	0	0	7	7	1	1	0	0	8	8	5	5	2	2	6	6	5	5	1	1	4	4	3	3	5	5	0	0	8	8	0	0	5	5	0	0	6	6	6	6	0	0	5	5	4	4	1	1	7	7	5	5	2	2	6	6	2	2	3	3	1	1	5	5	0	0	1	1	2	2	7	7	0	0	0	0	6	6	
11	1.00	0.00	5	5	5	5	4	4	7	7	0	0	7	7	2	2	4	4	8	8	2	2	2	2	0	0	3	3	8	8	6	6	2	2	3	3	7	7	7	7	7	7	2	2	3	3	5	5	0	0	1	1	5	5	8	8	6	6	4	4	2	2	6	6	2	2	1	1	0	0	6	6	5	5	4	4	0	0	1	1	6	6	1	1	6	6	4	4	6	6	6	6	1	1	6	6	4	4	0	0	2	2	0	0	8	8	5	5	0	0	2	2	0	0	0	0	8	8	6	6	3	3	1	1	0	0	5	5	4	4	4	4	3	3	3	3	1	1	5	5	4	4	2	2	6	6	1	1	4	4	7	7	3	3	4	4	6	6	2	2	0	0	7	7	0	0	8	8	8	8	3	3	1	1	7	7	8	8	8	8	7	7	8	8	6	6	5	5	8	8	0	0	1	1	1	1	0	0	0	0	8	8	
12	1.00	0.00	2	2	2	2	3	3	4	4	2	2	7	7	1	1	4	4	8	8	2	2	2	2	6	6	2	2	5	5	0	0	7	7	8	8	6	6	4	4	2	2	8	8	3	3	0	0	8	8	6	6	8	8	1	1	1	1	5	5	5	5	3	3	6	6	0	0	8	8	2	2	0	0	0	0	4	4	0	0	5	5	2	2	3	3	8	8	1	1	6	6	6	6	2	2	1	1	5	5	8	8	8	8	7	7	2	2	1	1	6	6	2	2	8	8	3	3	3	3	2	2	5	5	2	2	7	7	4	4	7	7	2	2	2	2	8	8	7	7	5	5	5	5	7	7	0	0	8	8	8	8	3	3	8	8	0	0	3	3	3	3	4	4	6	6	8	8	7	7	2	2	5	5	1	1	7	7	6	6	7	7	6	6	1	1	2	2	2	2	5	5	8	8	1	1	4	4	3	3	0	0	
13	1.00	0.00	0	0	8	8	4	4	4	4	6	6	2	2	3	3	7	7	8	8	4	4	6	6	1	1	6	6	3	3	2	2	6	6	0	0	5	5	7	7	8	8	6	6	5	5	2	2	4	4	2	2	0	0	0	0	5	5	2	2	5	5	7	7	3	3	6	6	4	4	8	8	3	3	3	3	6	6	7	7	5	5	4	4	6	6	4	4	2	2	2	2	1	1	2	2	7	7	7	7	7	7	0	0	7	7	4	4	3	3	5	5	4	4	3	3	5	5	3	3	4	4	1	1	6	6	8	8	4	4	2	2	2	2	8	8	0	0	2	2	0	0	2	2	4	4	4	4	8	8	2	2	5	5	4	4	1	1	2	2	4	4	3	3	0	0	2	2	8	8	2	2	3	3	4	4	1	1	2	2	3	3	6	6	8	8	8	8	5	5	0	0	7	7	0	0	5	5	5	5	3	3	
14	1.00	0.00	8	8	5	5	0	0	7	7	6	6	4	4	8	8	8	8	5	5	0	0	3	3	4	4	0	0	6	6	3	3	1	1	0	0	8	8	3	3	7	7	8	8	2	2	4	4	6	6	6	6	4	4	1	1	1	1	1	1	8	8	3	3	7	7	2	2	7	7	8	8	4	4	0	0	1	1	4	4	0	0	3	3	4	4	5	5	8	8	4	4	3	3	0	0	4	4	8	8	0	0	5	5	5	5	5	5	0	0	7	7	1	1	1	1	6	6	6	6	7	7	8	8	6	6	6	6	0	0	4	4	3	3	1	1	7	7	0	0	3	3	3	3	5	5	0	0	4	4	1	1	0	0	0	0	2	2	2	2	4	4	1	1	5	5	2	2	6	6	7	7	5	5	5	5	4	4	1	1	5	5	1	1	5	5	1	1	7	7	8	8	0	0	0	0	8	8	3	3	6	6	
15	1.00	0.00	5	5	5	5	3	3	3	3	1	1	5	5	0	0	4	4	7	7	0	0	4	4	2	2	6	6	6	6	3	3	0	0	3	3	4	4	0	0	0	0	0	0	6	6	6	6	3	3	5	5	0	0	0	0	0	0	5	5	5	5	8	8	7	7	5	5	5	5	8	8	2	2	0	0	0	0	6	6	7	7	0	0	0	0	4	4	7	7	2	2	0	0	4	4	1	1	4	4	6	6	0	0	1	1	3	3	0	0	0	0	4	4	2	2	8	8	4	4	2	2	0	0	2	2	8	8	6	6	4	4	7	7	6	6	2	2	3	3	8	8	8	8	5	5	2	2	6	6	8	8	8	8	8	8	1	1	8	8	3	3	8	8	0	0	4	4	8	8	1	1	1	1	5	5	7	7	5	5	1	1	1	1	0	0	0	0	8	8	8	8	7	7	2	2	4	4	5	5	5	5	
16	1.00	0.00	6	6	4	4	1	1	7	7	0	0	0	0	6	6	6	6	2	2	3	3	6	6	5	5	3	3	3	3	1	1	3	3	0	0	0	0	0	0	7	7	4	4	1	1	7	7	1	1	3	3	7	7	4	4	5	5	7	7	5	5	6	6	8	8	6	6	1	1	4	4	2	2	3	3	2	2	5	5	7	7	8	8	1	1	1	1	1	1	0	0	2	2	2	2	2	2	7	7	2	2	2	2	4	4	3	3	6	6	6	6	8	8	4	4	2	2	0	0	2	2	5	5	7	7	2	2	1	1	5	5	6	6	2	2	6	6	8	8	8	8	7	7	8	8	5	5	0	0	0	0	0	0	7	7	4	4	7	7	1	1	0	0	7	7	1	1	4	4	3	3	0	0	1	1	8	8	8	8	4	4	3	3	1	1	5	5	0	0	1	1	5	5	6	6	6	6	1	1	0	0	
17	1.00	0.00	0	0	8	8	0	0	8	8	0	0	6	6	1	1	7	7	0	0	3	3	3	3	5	5	2	2	6	6	5	5	1	1	2	2	2	2	8	8	7	7	6	6	8	8	6	6	6	6	7	7	1	1	8	8	6	6	2	2	1	1	2	2	5	5	6	6	1	1	4	4	2	2	4	4	1	1	2	2	3	3	6	6	7	7	0	0	0	0	3	3	0	0	0	0	3	3	2	2	0	0	1	1	6	6	0	0	2	2	4	4	1	1	7	7	2	2	1	1	1	1	6	6	5	5	8	8	5	5	1	1	2	2	3	3	0	0	1	1	7	7	8	8	0	0	2	2	6	6	0	0	0	0	8	8	3	3	3	3	5	5	0	0	6	6	5	5	7	7	5	5	4	4	5	5	1	1	6	6	5	5	4	4	7	7	3	3	3	3	6	6	0	0	0	0	6	6	3	3	6	6	
18	1.00	0.00	0	0	6	6	2	2	1	1	1	1	4	4	5	5	1	1	2	2	1	1	4	4	5	5	2	2	5	5	5	5	6	6	1	1	4	4	7	7	2	2	0	0	8	8	6	6	4	4	1	1	6	6	5	5	4	4	3	3	5	5	2	2	5	5	3	3	8	8	7	7	3	3	6	6	6	6	0	0	2	2	5	5	7	7	5	5	8	8	3	3	0	0	8	8	5	5	1	1	3	3	8	8	1	1	5	5	4	4	0	0	6	6	1	1	7	7	7	7	0	0	2	2	6	6	1	1	3	3	7	7	1	1	7	7	7	7	8	8	3	3	2	2	0	0	7	7	1	1	4	4	6	6	2	2	0	0	5	5	4	4	6	6	7	7	5	5	4	4	1	1	1	1	5	5	5	5	8	8	8	8	1	1	0	0	3	3	5	5	0	0	8	8	6	6	4	4	5	5	1	1	
19	1.00	0.00	1	1	4	4	7	7	4	4	2	2	6	6	4	4	8	8	2	2	4	4	2	2	2	2	5	5	0	0	0	0	3	3	2	2	3	3	2	2	4	4	2	2	0	0	7	7	7	7	3	3	0	0	3	3	2	2	4	4	5	5	8	8	2	2	8	8	8	8	2	2	1	1	4	4	1	1	7	7	1	1	2	2	2	2	7	7	2	2	8	8	6	6	7	7	2	2	3	3	5	5	3	3	8	8	6	6	8	8	5	5	6	6	2	2	5	5	7	7	7	7	1	1	2	2	1	1	8	8	7	7	3	3	0	0	0	0	6	6	1	1	4	4	5	5	4	4	1	1	2	2	3	3	8	8	4	4	2	2	0	0	6	6	5	5	7	7	5	5	4	4	4	4	2	2	8	8	0	0	5	5	7	7	5	5	4	4	6	6	7	7	2	2	6	6	0	0	0	0	6	6	
20	1.00	0.00	8	8	3	3	6	6	2	2	8	8	3	3	0	0	7	7	2	2	1	1	8	8	5	5	3	3	4	4	0	0	8	8	7	7	2	2	6	6	5	5	4	4	8	8	6	6	2	2	2	2	0	0	8	8	0	0	6	6	7	7	7	7	6	6	8	8	7	7	5	5	7	7	5	5	1	1	2	2	5	5	1	1	5	5	3	3	2	2	8	8	6	6	3	3	0	0	6	6	2	2	7	7	6	6	7	7	6	6	6	6	3	3	8	8	7	7	8	8	3	3	0	0	7	7	6	6	3	3	2	2	2	2	2	2	4	4	2	2	5	5	8	8	1	1	8	8	7	7	1	1	7	7	0	0	7	7	5	5	0	0	3	3	0	0	7	7	5	5	2	2	1	1	7	7	7	7	8	8	6	6	5	5	0	0	5	5	4	4	6	6	6	6	8	8	6	6	4	4	2	2	
21	1.00	0.00	6	6	3	3	7	7	1	1	8	8	7	7	4	4	4	4	7	7	3	3	4	4	5	5	1	1	6	6	3	3	2	2	6	6	2	2	6	6	7	7	0	0	1	1	7	7	0	0	7	7	1	1	7	7	1	1	0	0	0	0	5	5	3	3	1	1	8	8	4	4	6	6	6	6	4	4	3	3	2	2	4	4	7	7	8	8	2	2	5	5	8	8	6	6	0	0	5	5	2	2	6	6	4	4	2	2	1	1	3	3	0	0	7	7	2	2	2	2	6	6	4	4	2	2	2	2	8	8	6	6	3	3	2	2	4	4	3	3	7	7	3	3	4	4	3	3	1	1	8	8	2	2	8	8	8	8	2	2	2	2	2	2	5	5	7	7	0	0	8	8	8	8	5	5	8	8	2	2	5	5	0	0	8	8	5	5	7	7	6	6	3	3	6	6	8	8	3	3	3	3	
22	1.00	0.00	8	8	7	7	6	6	4	4	6	6	5	5	3	3	2	2	6	6	3	3	0	0	4	4	7	7	8	8	2	2	4	4	1	1	4	4	5	5	3	3	8	8	4	4	7	7	4	4	4	4	3	3	1	1	4	4	5	5	4	4	4	4	1	1	4	4	4	4	7	7	2	2	3	3	6	6	1	1	1	1	2	2	5	5	7	7	2	2	2	2	6	6	7	7	0	0	3	3	0	0	5	5	4	4	2	2	1	1	8	8	8	8	6	6	0	0	4	4	0	0	0	0	8	8	4	4	4	4	8	8	1	1	5	5	6	6	6	6	0	0	2	2	7	7	4	4	5	5	5	5	4	4	8	8	4	4	0	0	5	5	5	5	5	5	7	7	2	2	8	8	1	1	0	0	7	7	8	8	3	3	2	2	2	2	1	1	8	8	3	3	2	2	7	7	8	8	6	6	7	7	
23	1.00	0.00	8	8	4	4	5	5	2	2	6	6	6	6	3	3	0	0	4	4	7	7	0	0	2	2	6	6	3	3	6	6	7	7	7	7	2	2	5	5	0	0	0	0	2	2	6	6	0	0	5	5	7	7	3	3	4	4	6	6	2	2	6	6	4	4	3	3	3	3	8	8	1	1	7	7	4	4	0	0	6	6	0	0	2	2	4	4	0	0	0	0	4	4	8	8	6	6	8	8	7	7	6	6	5	5	3	3	5	5	0	0	2	2	0	0	6	6	5	5	4	4	7	7	2	2	1	1	0	0	0	0	1	1	8	8	3	3	7	7	7	7	5	5	8	8	6	6	4	4	0	0	6	6	8	8	1	1	2	2	5	5	0	0	4	4	0	0	8	8	6	6	3	3	2	2	2	2	1	1	4	4	0	0	3	3	0	0	3	3	6	6	8	8	2	2	3	3	6	6	4	4	
24	1.00	0.00	1	1	7	7	3	3	8	8	3	3	5	5	6	6	4	4	8	8	1	1	8	8	3	3	7	7	1	1	6	6	4	4	7	7	5	5	7	7	4	4	1	1	8	8	3	3	4	4	6	6	7	7	1	1	1	1	2	2	1	1	5	5	0	0	7	7	2	2	3	3	1	1	4	4	4	4	3	3	0	0	2	2	8	8	4	4	1	1	7	7	1	1	5	5	1	1	6	6	1	1	7	7	0	0	2	2	4	4	0	0	1	1	6	6	1	1	3	3	0	0	2	2	2	2	2	2	0	0	0	0	5	5	7	7	5	5	7	7	2	2	4	4	3	3	1	1	6	6	5	5	4	4	6	6	7	7	5	5	2	2	3	3	2	2	8	8	1	1	5	5	8	8	8	8	4	4	1	1	5	5	1	1	4	4	0	0	4	4	0	0	8	8	2	2	8	8	6	6	0	0	
25	1.00	0.00	1	1	5	5	6	6	5	5	6	6	1	1	7	7	7	7	4	4	2	2	5	5	8	8	8	8	4	4	4	4	5	5	0	0	4	4	2	2	7	7	5	5	4	4	1	1	2	2	2	2	1	1	2	2	3	3	1	1	8	8	5	5	8	8	8	8	4	4	4	4	6	6	8	8	4	4	3	3	1	1	3	3	4	4	0	0	8	8	8	8	5	5	1	1	5	5	6	6	6	6	5	5	5	5	2	2	7	7	8	8	7	7	8	8	0	0	1	1	0	0	1	1	6	6	5	5	3	3	2	2	4	4	8	8	4	4	3	3	8	8	6	6	3	3	6	6	6	6	6	6	6	6	7	7	8	8	2	2	0	0	7	7	5	5	7	7	2	2	4	4	3	3	3	3	5	5	8	8	4	4	4	4	2	2	1	1	1	1	2	2	2	2	2	2	2	2	8	8	6	6	
26	1.00	0.00	8	8	7	7	2	2	8	8	7	7	4	4	5	5	1	1	0	0	6	6	8	8	4	4	1	1	0	0	5	5	6	6	2	2	2	2	5	5	0	0	0	0	1	1	0	0	7	7	7	7	8	8	8	8	1	1	0	0	2	2	7	7	0	0	4	4	6	6	4	4	6	6	0	0	1	1	5	5	4	4	3	3	6	6	7	7	2	2	2	2	3	3	4	4	1	1	0	0	2	2	8	8	5	5	5	5	0	0	0	0	7	7	2	2	0	0	4	4	1	1	7	7	1	1	6	6	3	3	3	3	4	4	5	5	7	7	5	5	7	7	5	5	2	2	3	3	4	4	3	3	8	8	4	4	1	1	6	6	3	3	6	6	5	5	6	6	2	2	7	7	7	7	1	1	4	4	1	1	1	1	8	8	7	7	5	5	8	8	8	8	8	8	6	6	2	2	1	1	1	1	
27	1.00	0.00	4	4	8	8	6	6	2	2	0	0	1	1	6	6	2	2	5	5	2	2	2	2	6	6	7	7	0	0	4	4	8	8	3	3	0	0	7	7	6	6	4	4	6	6	1	1	8	8	7	7	4	4	6	6	7	7	4	4	2	2	2	2	4	4	3	3	7	7	5	5	2	2	4	4	4	4	6	6	6	6	6	6	7	7	4	4	4	4	3	3	6	6	6	6	4	4	5	5	5	5	8	8	7	7	4	4	2	2	8	8	1	1	3	3	0	0	4	4	8	8	3	3	5	5	4	4	2	2	4	4	1	1	2	2	1	1	2	2	4	4	5	5	5	5	1	1	6	6	0	0	3	3	2	2	7	7	2	2	5	5	6	6	1	1	3	3	6	6	1	1	0	0	7	7	2	2	1	1	2	2	3	3	8	8	1	1	4	4	3	3	7	7	4	4	7	7	3	3	0	0	
