t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
17	368	368	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	22	22	39	39	46	46	36	36	43	43	22	22	32	32	36	36	50	50	42	42	
18	427	427	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36	36	35	35	41	41	41	41	40	40	37	37	53	53	33	33	67	67	44	44	
19	404	404	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	33	33	48	48	56	56	48	48	54	54	30	30	22	22	29	29	65	65	19	19	
20	424	424	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	20	20	50	50	48	48	45	45	48	48	35	35	34	34	41	41	61	61	42	42	
21	388	388	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	25	25	43	43	41	41	31	31	37	37	23	23	37	37	56	56	58	58	37	37	
22	389	389	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36	36	57	57	35	35	32	32	53	53	25	25	24	24	45	45	48	48	34	34	
23	417	417	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	35	35	34	34	58	58	34	34	49	49	31	31	43	43	42	42	61	61	30	30	
24	403	403	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	35	35	47	47	45	45	29	29	46	46	31	31	48	48	43	43	49	49	30	30	
25	420	420	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	27	27	49	49	50	50	24	24	52	52	25	25	52	52	48	48	41	41	52	52	
26	398	398	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	31	31	39	39	45	45	30	30	50	50	34	34	35	35	37	37	56	56	41	41	
27	414	414	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	31	31	52	52	53	53	36	36	38	38	29	29	44	44	33	33	56	56	42	42	
28	412	412	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	31	31	44	44	41	41	39	39	54	54	32	32	50	50	39	39	46	46	36	36	
29	419	419	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	25	25	45	45	46	46	42	42	51	51	23	23	49	49	40	40	64	64	34	34	
30	416	416	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	27	27	36	36	55	55	32	32	40	40	23	23	44	44	45	45	76	76	38	38	
31	375	375	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	41	41	41	41	31	31	28	28	50	50	22	22	35	35	47	47	42	42	38	38	
32	382	382	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	35	35	29	29	31	31	43	43	44	44	28	28	32	32	54	54	50	50	36	36	
33	405	405	 600	0	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	37	37	46	46	63	63	27	27	34	34	24	24	53	53	39	39	55	55	27	27	
34	374	374	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	21	21	43	43	41	41	43	43	46	46	21	21	57	57	29	29	40	40	33	33	
35	390	390	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	27	27	36	36	52	52	35	35	35	35	19	19	37	37	52	52	61	61	36	36	
36	413	413	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	56	56	31	31	48	48	28	28	53	53	21	21	44	44	32	32	58	58	42	42	
37	362	362	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	28	28	36	36	36	36	32	32	53	53	17	17	30	30	51	51	50	50	29	29	
38	394	394	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	48	48	47	47	38	38	38	38	34	34	40	40	43	43	37	37	35	35	
39	375	375	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	27	27	31	31	47	47	33	33	45	45	18	18	52	52	36	36	44	44	42	42	
40	366	366	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	21	21	36	36	45	45	34	34	42	42	27	27	33	33	29	29	59	59	40	40	
41	398	398	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	42	42	31	31	49	49	28	28	47	47	17	17	41	41	34	34	73	73	36	36	
42	388	388	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	44	44	29	29	49	49	20	20	51	51	29	29	33	33	42	42	52	52	39	39	
43	374	374	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	30	30	52	52	48	48	27	27	42	42	35	35	36	36	29	29	55	55	20	20	
44	410	410	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	42	42	41	41	44	44	42	42	32	32	28	28	40	40	48	48	57	57	36	36	
45	342	342	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	33	33	34	34	29	29	32	32	42	42	20	20	29	29	46	46	49	49	28	28	
46	349	349	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	24	24	40	40	33	33	29	29	53	53	42	42	25	25	26	26	58	58	19	19	
47	401	401	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	30	30	41	41	32	32	39	39	46	46	20	20	47	47	44	44	56	56	46	46	
48	387	387	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	26	26	40	40	50	50	29	29	31	31	36	36	38	38	45	45	52	52	40	40	
49	362	362	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	39	39	35	35	38	38	30	30	40	40	31	31	29	29	37	37	44	44	39	39	
50	367	367	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	14	14	30	30	22	22	39	39	50	50	26	26	35	35	50	50	71	71	30	30	
51	416	416	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	39	39	31	31	50	50	37	37	50	50	37	37	44	44	53	53	53	53	22	22	
52	445	445	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	31	31	44	44	47	47	33	33	46	46	43	43	34	34	49	49	71	71	47	47	
53	405	405	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	33	33	38	38	43	43	28	28	40	40	38	38	44	44	50	50	63	63	28	28	
54	394	394	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45	45	46	46	40	40	36	36	35	35	14	14	52	52	37	37	50	50	39	39	
55	359	359	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	30	30	55	55	46	46	35	35	25	25	21	21	49	49	24	24	41	41	33	33	
56	369	369	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	26	26	33	33	45	45	43	43	37	37	27	27	35	35	47	47	52	52	24	24	
57	452	452	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45	45	49	49	49	49	28	28	45	45	39	39	24	24	58	58	65	65	50	50	
58	407	407	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	38	38	43	43	33	33	32	32	28	28	41	41	41	41	53	53	46	46	
59	396	396	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	32	32	43	43	36	36	36	36	41	41	33	33	39	39	55	55	56	56	25	25	
60	444	444	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	33	33	48	48	53	53	28	28	45	45	35	35	41	41	59	59	55	55	47	47	
61	400	400	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	31	31	58	58	56	56	42	42	42	42	21	21	41	41	31	31	58	58	20	20	
62	379	379	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	23	23	47	47	32	32	24	24	46	46	31	31	32	32	51	51	53	53	40	40	
63	414	414	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	38	38	45	45	61	61	29	29	35	35	23	23	44	44	44	44	65	65	30	30	
64	383	383	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	24	24	44	44	55	55	25	25	46	46	26	26	33	33	52	52	46	46	32	32	
65	392	392	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36	36	26	26	46	46	23	23	54	54	33	33	36	36	44	44	61	61	33	33	
66	415	415	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	40	40	33	33	55	55	35	35	43	43	35	35	45	45	37	37	66	66	26	26	
67	405	405	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	31	31	52	52	40	40	45	45	42	42	30	30	33	33	46	46	55	55	31	31	
68	436	436	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	36	36	44	44	48	48	55	55	41	41	39	39	34	34	62	62	43	43	
69	344	344	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	37	37	32	32	38	38	29	29	34	34	16	16	31	31	41	41	54	54	32	32	
70	426	426	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	41	41	47	47	43	43	32	32	47	47	33	33	36	36	56	56	59	59	32	32	
71	397	397	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	38	38	48	48	20	20	54	54	25	25	45	45	45	45	53	53	35	35	
72	379	379	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	37	37	33	33	45	45	26	26	45	45	42	42	47	47	35	35	35	35	34	34	
73	393	393	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	37	37	50	50	41	41	34	34	33	33	21	21	54	54	28	28	59	59	36	36	
74	371	371	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	26	26	17	17	48	48	27	27	58	58	43	43	42	42	32	32	48	48	30	30	
75	402	402	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	43	43	42	42	43	43	35	35	49	49	24	24	51	51	41	41	45	45	29	29	
76	387	387	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	24	24	46	46	44	44	33	33	41	41	20	20	44	44	49	49	54	54	32	32	
77	417	417	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	28	28	43	43	44	44	30	30	56	56	28	28	32	32	56	56	47	47	53	53	
78	394	394	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	42	42	21	21	37	37	24	24	51	51	47	47	30	30	55	55	48	48	39	39	
79	387	387	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	38	38	35	35	42	42	23	23	46	46	20	20	44	44	58	58	50	50	31	31	
80	382	382	 600	0	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45	45	44	44	47	47	34	34	29	29	13	13	52	52	50	50	35	35	33	33	
81	381	381	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	39	39	52	52	33	33	21	21	36	36	31	31	23	23	49	49	59	59	38	38	
82	436	436	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	56	56	53	53	46	46	18	18	58	58	27	27	44	44	43	43	49	49	42	42	
83	384	384	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	35	35	40	40	50	50	33	33	45	45	24	24	38	38	30	30	67	67	22	22	
84	402	402	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	45	45	43	43	37	37	54	54	25	25	29	29	57	57	47	47	31	31	
85	416	416	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	32	32	46	46	45	45	38	38	43	43	20	20	38	38	63	63	46	46	45	45	
86	444	444	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45	45	36	36	45	45	46	46	47	47	34	34	56	56	39	39	62	62	34	34	
87	419	419	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	54	54	47	47	36	36	47	47	45	45	30	30	33	33	50	50	35	35	42	42	
88	427	427	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	39	39	45	45	34	34	37	37	49	49	20	20	46	46	53	53	67	67	37	37	
89	401	401	 600	0	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	43	43	32	32	45	45	29	29	43	43	24	24	48	48	50	50	52	52	35	35	
90	426	426	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	38	38	32	32	41	41	43	43	43	43	28	28	50	50	43	43	76	76	32	32	
91	451	451	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	33	33	35	35	52	52	45	45	59	59	27	27	53	53	52	52	55	55	40	40	
92	384	384	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	49	49	30	30	34	34	15	15	48	48	21	21	36	36	56	56	53	53	42	42	
93	387	387	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	19	19	44	44	39	39	35	35	49	49	18	18	43	43	36	36	67	67	37	37	
94	435	435	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47	47	40	40	26	26	45	45	54	54	22	22	38	38	47	47	71	71	45	45	
95	364	364	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	35	35	30	30	43	43	29	29	42	42	32	32	36	36	38	38	45	45	34	34	
96	427	427	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36	36	46	46	49	49	39	39	46	46	35	35	29	29	44	44	52	52	51	51	
97	405	405	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	48	48	31	31	38	38	30	30	53	53	32	32	50	50	36	36	52	52	35	35	
98	372	372	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	21	21	39	39	23	23	44	44	49	49	22	22	41	41	62	62	45	45	26	26	
99	403	403	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	27	27	54	54	42	42	48	48	32	32	30	30	41	41	36	36	41	41	
100	365	365	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	27	27	52	52	49	49	18	18	41	41	27	27	46	46	33	33	48	48	24	24	
101	346	346	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	20	20	27	27	35	35	25	25	39	39	37	37	39	39	35	35	51	51	38	38	
102	471	471	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	41	41	56	56	58	58	40	40	54	54	41	41	28	28	46	46	59	59	48	48	
103	442	442	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	38	38	46	46	31	31	39	39	58	58	32	32	47	47	49	49	65	65	37	37	
104	402	402	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	33	33	28	28	45	45	47	47	24	24	23	23	51	51	44	44	59	59	48	48	
105	430	430	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	31	31	42	42	44	44	44	44	51	51	23	23	43	43	58	58	58	58	36	36	
106	396	396	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	46	46	46	46	36	36	25	25	16	16	29	29	52	52	71	71	41	41	
107	461	461	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	41	41	38	38	56	56	47	47	43	43	29	29	50	50	59	59	56	56	42	42	
108	429	429	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45	45	38	38	36	36	43	43	59	59	28	28	33	33	43	43	65	65	39	39	
109	417	417	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	27	27	35	35	31	31	23	23	58	58	46	46	49	49	62	62	47	47	39	39	
110	390	390	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	30	30	35	35	45	45	32	32	41	41	42	42	31	31	39	39	58	58	37	37	
111	426	426	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	37	37	52	52	50	50	24	24	42	42	27	27	42	42	52	52	59	59	41	41	
112	397	397	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	31	31	30	30	48	48	20	20	35	35	26	26	42	42	60	60	75	75	30	30	
113	387	387	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	32	32	34	34	57	57	41	41	38	38	24	24	42	42	32	32	57	57	30	30	
114	414	414	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	43	43	52	52	52	52	32	32	31	31	20	20	45	45	54	54	49	49	36	36	
115	393	393	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	43	43	31	31	37	37	13	13	52	52	37	37	39	39	40	40	61	61	40	40	
116	418	418	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51	51	54	54	40	40	26	26	45	45	26	26	36	36	52	52	46	46	42	42	
117	425	425	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	48	48	54	54	32	32	38	38	36	36	59	59	48	48	47	47	29	29	
118	336	336	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	40	40	24	24	41	41	23	23	26	26	24	24	37	37	48	48	53	53	20	20	
119	403	403	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	38	38	55	55	33	33	32	32	26	26	32	32	49	49	51	51	53	53	
120	400	400	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	32	32	52	52	50	50	36	36	55	55	36	36	24	24	58	58	36	36	21	21	
121	401	401	 600	9	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	46	46	49	49	21	21	41	41	24	24	41	41	50	50	46	46	49	49	
122	394	394	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	18	18	39	39	49	49	28	28	41	41	27	27	47	47	46	46	61	61	38	38	
123	395	395	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	37	37	31	31	34	34	37	37	44	44	22	22	40	40	56	56	52	52	42	42	
124	396	396	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	33	33	23	23	47	47	31	31	47	47	26	26	47	47	39	39	60	60	43	43	
125	449	449	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	46	46	56	56	42	42	30	30	57	57	38	38	54	54	35	35	47	47	44	44	
126	404	404	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	27	27	46	46	55	55	28	28	45	45	23	23	37	37	62	62	48	48	33	33	
127	404	404	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	22	22	44	44	44	44	38	38	60	60	28	28	43	43	50	50	50	50	25	25	
128	421	421	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36	36	48	48	46	46	30	30	38	38	40	40	44	44	47	47	58	58	34	34	
129	429	429	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	41	41	48	48	57	57	29	29	41	41	27	27	46	46	41	41	64	64	35	35	
130	378	378	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	38	38	44	44	28	28	52	52	29	29	23	23	38	38	48	48	44	44	
131	413	413	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	29	29	47	47	52	52	39	39	48	48	26	26	39	39	41	41	54	54	38	38	
132	360	360	 600	0	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	37	37	37	37	28	28	25	25	34	34	30	30	44	44	61	61	30	30	
133	422	422	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	35	35	55	55	52	52	45	45	32	32	31	31	42	42	42	42	66	66	22	22	
134	414	414	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	43	43	50	50	43	43	32	32	44	44	26	26	46	46	39	39	59	59	32	32	
135	357	357	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	35	35	37	37	43	43	29	29	30	30	20	20	41	41	53	53	32	32	37	37	
