t	u_avg	u_sdev	d-g0n0	g0n0	d-g0n2	g0n2	d-g0n3	g0n3	d-g0n4	g0n4	d-g0n5	g0n5	d-g0n6	g0n6	d-g0n9	g0n9	d-g0n11	g0n11	d-g0n12	g0n12	d-g0n13	g0n13	d-g0n14	g0n14	d-g0n15	g0n15	d-g0n16	g0n16	d-g0n17	g0n17	d-g0n19	g0n19	d-g1n1	g1n1	d-g1n3	g1n3	d-g1n4	g1n4	d-g1n8	g1n8	d-g1n11	g1n11	d-g1n12	g1n12	d-g1n16	g1n16	d-g2n0	g2n0	d-g2n1	g2n1	d-g2n2	g2n2	d-g2n3	g2n3	d-g2n7	g2n7	d-g2n8	g2n8	d-g2n11	g2n11	d-g2n14	g2n14	d-g2n15	g2n15	d-g2n16	g2n16	d-g2n18	g2n18	d-g2n19	g2n19	d-g3n1	g3n1	d-g3n9	g3n9	d-g3n10	g3n10	d-g3n13	g3n13	d-g3n17	g3n17	d-g3n19	g3n19	d-g4n0	g4n0	d-g4n2	g4n2	d-g4n4	g4n4	d-g4n7	g4n7	d-g4n8	g4n8	d-g4n10	g4n10	d-g4n13	g4n13	d-g4n14	g4n14	d-g4n15	g4n15	d-g4n18	g4n18	d-g5n1	g5n1	d-g5n2	g5n2	d-g5n3	g5n3	d-g5n5	g5n5	d-g5n6	g5n6	d-g5n7	g5n7	d-g5n8	g5n8	d-g5n12	g5n12	d-g5n16	g5n16	d-g5n17	g5n17	d-g5n18	g5n18	d-g5n19	g5n19	d-g6n5	g6n5	d-g6n6	g6n6	d-g6n7	g6n7	d-g6n8	g6n8	d-g6n9	g6n9	d-g6n10	g6n10	d-g6n11	g6n11	d-g6n13	g6n13	d-g6n15	g6n15	d-g6n17	g6n17	d-g6n18	g6n18	d-g7n4	g7n4	d-g7n5	g7n5	d-g7n6	g7n6	d-g7n10	g7n10	d-g7n13	g7n13	d-g7n14	g7n14	d-g7n16	g7n16	d-g8n0	g8n0	d-g8n5	g8n5	d-g8n9	g8n9	d-g8n11	g8n11	d-g8n12	g8n12	d-g8n15	g8n15	d-g8n18	g8n18	d-g8n19	g8n19	d-g9n0	g9n0	d-g9n1	g9n1	d-g9n2	g9n2	d-g9n3	g9n3	d-g9n4	g9n4	d-g9n6	g9n6	d-g9n7	g9n7	d-g9n9	g9n9	d-g9n10	g9n10	d-g9n12	g9n12	d-g9n14	g9n14	d-g9n17	g9n17	
10	0.97	0.05	17	17	15	13	11	11	9	8	18	17	5	5	17	17	2	2	8	7	0	0	9	9	17	16	13	12	4	4	0	0	9	9	17	17	4	4	3	3	6	6	9	9	3	3	11	10	8	8	11	10	12	11	2	2	0	0	11	10	3	3	11	10	4	4	1	1	0	0	1	1	0	0	12	12	16	16	9	9	3	3	10	9	16	14	19	19	7	7	25	23	7	7	9	9	3	3	4	4	9	9	1	1	8	7	18	16	12	11	11	11	8	8	5	5	15	15	1	1	2	2	8	8	19	19	18	18	10	10	7	7	4	4	9	9	14	14	3	3	18	17	12	12	13	11	16	15	16	16	0	0	11	11	7	7	9	9	6	6	13	13	16	14	0	0	13	11	18	18	8	8	12	11	16	15	18	17	5	5	2	2	1	1	9	9	14	14	13	12	7	7	16	15	14	14	15	13	5	5	5	5	
11	0.98	0.04	17	17	19	16	18	18	7	7	19	17	19	19	3	3	3	3	9	8	17	17	17	17	1	1	11	11	5	5	11	11	14	14	4	4	13	13	6	6	4	4	14	14	13	13	6	6	17	17	8	7	8	8	7	7	15	15	1	1	1	1	9	9	11	11	11	11	5	5	12	12	3	3	3	3	10	10	17	17	16	16	11	10	17	15	16	16	6	6	5	5	15	15	8	8	8	8	18	17	13	12	17	15	15	13	14	13	2	2	9	9	6	6	13	13	10	10	15	15	5	5	18	17	1	1	16	15	2	2	12	12	10	10	7	7	17	17	15	14	7	7	14	14	7	6	7	7	0	0	10	10	18	18	19	19	4	4	14	14	12	12	1	1	0	0	6	6	13	13	4	4	11	10	1	1	8	8	6	6	11	10	8	8	1	1	15	15	6	6	12	11	12	11	4	4	14	12	6	6	6	6	
12	0.98	0.04	13	13	9	8	0	0	5	5	13	12	18	16	6	6	0	0	14	12	18	17	15	14	6	6	0	0	13	13	17	16	18	18	12	12	7	7	6	6	16	16	8	8	18	18	6	6	14	14	19	16	17	15	1	1	11	11	0	0	16	16	8	8	8	8	16	15	3	3	0	0	3	3	15	15	1	1	3	3	7	7	6	6	8	7	7	7	1	1	0	0	2	2	2	2	19	19	17	16	17	16	9	8	17	15	3	3	13	13	10	10	8	8	5	5	15	15	9	9	10	9	13	12	7	6	6	6	9	9	10	10	15	15	12	12	7	7	11	10	9	9	7	7	6	6	15	14	17	17	19	19	18	18	19	19	18	18	15	15	16	16	0	0	15	15	7	7	16	16	11	11	17	16	16	15	15	14	1	1	1	1	12	12	10	9	12	12	13	12	14	13	12	11	7	7	6	6	11	11	3	3	
13	0.97	0.04	13	13	17	15	10	9	8	8	12	11	10	9	17	17	10	10	11	10	14	13	16	15	9	9	5	5	7	7	12	11	0	0	4	4	8	8	7	7	1	1	16	16	3	3	2	2	8	8	1	1	7	7	6	6	2	2	6	6	1	1	5	5	10	10	9	9	19	19	19	19	8	8	10	10	8	8	8	8	11	11	4	4	16	14	20	18	19	17	10	10	14	13	8	8	19	19	9	9	13	12	10	9	9	8	10	9	15	14	15	15	0	0	11	11	17	16	18	17	8	7	1	1	3	3	10	9	10	10	10	10	6	6	13	13	2	2	16	15	25	24	6	6	11	10	3	3	0	0	0	0	9	9	12	12	3	3	16	16	17	17	12	11	16	16	2	2	2	2	17	17	17	16	10	9	12	12	18	16	19	17	1	1	8	8	6	6	13	12	14	13	15	13	13	13	5	5	6	6	11	10	
14	0.98	0.04	19	18	5	5	11	10	0	0	14	14	7	7	11	11	13	13	0	0	5	5	16	16	7	7	7	7	1	1	5	5	17	17	2	2	14	14	6	6	8	8	4	4	0	0	1	1	4	4	17	15	3	3	15	14	1	1	13	13	7	7	3	3	18	18	17	16	1	1	10	10	18	18	19	19	16	16	14	14	19	19	1	1	6	6	19	18	18	17	8	8	8	8	15	15	13	13	5	5	15	14	6	6	4	4	6	6	0	0	4	4	10	9	14	14	6	6	10	10	19	16	18	17	4	4	12	12	18	17	4	4	3	3	5	5	15	14	1	1	3	3	12	11	18	16	9	9	13	13	12	11	4	4	3	3	15	15	11	11	1	1	16	14	9	9	7	7	8	8	8	8	2	2	4	4	9	9	17	15	5	5	14	13	4	4	11	11	16	16	5	5	0	0	5	5	10	9	10	10	0	0	
15	0.99	0.02	4	4	2	2	10	10	15	15	18	18	16	16	9	9	10	10	17	16	8	8	5	5	10	10	7	7	8	8	14	13	7	7	17	17	16	16	11	11	13	13	6	6	0	0	14	14	19	19	17	16	10	10	19	18	9	9	16	16	5	5	19	18	7	7	12	12	10	10	6	6	17	17	0	0	19	19	7	7	5	5	4	4	9	9	13	13	0	0	6	6	15	15	9	9	11	11	11	11	21	20	11	10	8	8	8	8	1	1	8	8	9	9	0	0	4	4	15	15	3	3	1	1	18	17	8	8	12	12	8	8	7	7	18	18	10	10	15	15	18	18	7	7	2	2	17	17	13	13	5	5	5	5	10	10	18	18	1	1	14	14	19	18	14	14	12	12	7	7	7	7	7	7	5	5	17	17	7	7	17	15	10	10	23	22	18	18	8	8	1	1	18	17	15	15	15	14	10	10	11	11	
16	0.99	0.03	7	7	0	0	4	4	4	4	3	3	6	6	3	3	0	0	8	7	25	25	19	19	12	12	13	13	13	13	13	13	9	9	3	3	21	21	18	18	6	6	16	16	16	16	18	17	15	14	3	3	15	15	0	0	12	12	0	0	5	5	17	16	2	2	14	14	19	19	3	3	18	18	8	8	3	3	5	5	17	17	15	14	14	13	3	3	9	9	5	5	0	0	10	10	6	6	13	13	24	22	14	13	15	14	7	7	12	12	11	11	15	15	3	3	18	18	15	15	5	5	15	15	7	7	13	13	4	4	7	7	5	5	23	22	2	2	12	12	6	6	5	5	14	13	19	17	11	11	8	8	18	18	4	4	12	12	13	13	11	11	8	8	13	13	16	16	5	5	17	17	7	7	2	2	6	6	12	12	4	4	7	7	7	7	13	12	23	23	8	8	12	11	15	15	3	3	13	13	7	7	
17	0.99	0.03	19	19	15	14	1	1	9	8	11	10	16	14	15	15	19	19	1	1	12	12	11	11	6	6	8	8	7	7	2	2	3	3	20	20	7	7	3	3	4	4	13	13	16	16	7	7	3	3	17	16	2	2	11	10	17	17	11	11	3	3	8	8	12	12	7	7	18	16	1	1	1	1	9	9	3	3	20	20	14	14	2	2	2	2	17	16	1	1	10	10	7	7	13	13	4	4	18	18	10	10	14	13	9	9	4	4	8	8	5	5	13	13	15	15	18	17	11	10	4	4	2	2	6	6	7	7	13	13	0	0	12	12	26	25	9	9	4	4	6	6	13	13	5	5	17	17	6	6	4	4	15	15	10	10	12	12	19	19	18	18	8	8	18	18	4	4	5	5	7	7	6	6	16	16	7	7	2	2	6	6	11	11	5	5	2	2	15	14	9	9	14	12	18	18	9	9	6	6	16	15	
18	0.99	0.04	9	9	0	0	8	8	12	11	4	4	15	13	15	15	5	5	19	16	12	12	19	19	19	19	19	19	7	7	10	10	13	13	1	1	17	17	4	4	17	17	14	14	12	12	7	7	19	18	4	4	18	17	7	7	8	8	15	15	10	10	0	0	16	16	9	9	12	11	15	15	3	3	17	17	19	19	12	12	9	9	9	9	10	10	8	8	12	12	16	16	14	13	16	16	2	2	7	7	16	16	16	14	16	16	7	7	0	0	4	4	19	19	5	5	14	13	4	4	8	8	2	2	12	12	14	14	5	5	16	16	16	16	5	5	25	24	9	9	5	5	3	3	5	5	8	8	12	12	8	8	12	12	19	19	7	7	10	10	3	3	12	12	10	10	5	5	19	19	0	0	12	12	12	12	12	12	15	15	14	13	5	5	17	16	11	10	1	1	13	13	19	16	0	0	11	11	9	9	19	16	
19	0.98	0.04	19	19	6	6	9	9	0	0	9	8	2	2	0	0	1	1	19	16	10	10	15	14	5	5	2	2	11	11	12	12	8	8	2	2	16	16	0	0	3	3	7	7	12	12	2	2	15	14	11	11	4	4	7	7	0	0	0	0	0	0	14	14	13	12	6	6	24	21	4	4	11	11	9	9	16	16	14	14	3	3	11	11	17	17	2	2	4	4	5	5	14	13	27	25	9	9	19	19	14	13	1	1	4	4	7	7	10	10	17	17	15	15	12	12	2	2	2	2	16	15	13	13	12	12	14	14	13	13	17	16	18	17	3	3	8	8	0	0	5	5	15	15	14	12	16	16	14	14	15	15	8	8	10	10	3	3	1	1	16	16	15	15	3	3	14	14	7	7	14	14	2	2	4	4	4	4	9	9	1	1	17	17	7	7	10	9	10	9	15	15	20	17	10	10	16	15	9	9	10	9	
20	0.99	0.03	16	16	4	4	16	16	12	12	16	16	15	13	16	15	8	8	11	11	4	4	11	10	3	3	14	14	18	17	10	10	9	9	0	0	8	8	19	19	6	6	7	7	13	13	16	16	9	9	2	2	0	0	15	15	18	18	13	13	9	9	13	13	18	17	4	4	11	11	17	17	13	13	10	10	8	8	16	16	13	13	9	9	18	16	8	8	5	5	11	11	19	17	8	8	9	9	12	12	7	7	4	4	16	16	11	11	5	5	6	6	7	7	4	4	7	7	6	6	6	6	18	18	17	17	3	3	7	7	5	5	22	22	11	11	17	16	8	8	18	18	1	1	5	5	23	23	9	9	12	12	7	7	8	8	13	13	17	17	3	3	5	5	6	6	18	18	1	1	4	4	10	10	4	4	9	9	0	0	10	10	13	11	19	18	19	18	18	17	4	4	11	11	18	18	15	15	13	13	5	5	
21	0.99	0.03	15	14	19	19	3	3	8	8	15	14	3	3	9	9	21	20	20	19	18	18	10	9	3	3	3	3	2	2	17	17	9	9	15	15	10	10	6	6	13	13	19	19	10	10	14	13	15	15	13	13	13	13	1	1	11	10	17	17	15	15	19	19	5	5	19	19	10	10	5	5	0	0	11	11	10	10	5	5	3	3	14	14	19	16	0	0	14	14	5	5	19	17	9	9	5	5	15	15	23	22	13	13	6	6	7	7	10	10	7	7	1	1	19	19	8	8	12	12	1	1	9	9	6	6	9	9	7	7	4	4	11	10	20	20	17	16	8	8	0	0	5	5	18	17	0	0	9	9	0	0	11	11	8	8	5	5	4	4	11	11	7	7	0	0	8	8	4	4	25	25	10	10	8	8	1	1	5	5	0	0	22	19	0	0	14	13	0	0	5	5	16	15	0	0	1	1	9	9	9	9	
22	0.98	0.04	11	10	20	17	1	1	5	5	18	16	3	3	2	2	10	9	18	16	12	11	9	8	5	5	17	17	6	6	12	12	16	16	17	17	8	8	13	13	0	0	4	4	1	1	0	0	5	5	22	22	9	9	6	6	12	11	10	9	1	1	1	1	3	3	15	14	14	13	14	14	14	14	5	5	1	1	12	12	6	6	16	16	3	3	12	12	15	15	0	0	10	10	19	18	15	15	6	6	4	4	6	6	19	16	3	3	19	19	2	2	4	4	12	11	13	13	5	5	3	3	10	9	3	3	8	8	14	14	13	13	1	1	7	7	5	5	6	6	10	9	18	18	15	15	13	12	7	7	15	15	2	2	9	9	13	13	16	16	18	18	17	17	9	9	1	1	8	8	19	19	10	10	8	8	1	1	9	9	2	2	3	3	6	6	3	3	9	9	17	17	17	17	13	13	15	15	19	19	16	16	
23	0.99	0.03	19	19	4	4	20	19	4	4	25	23	2	2	16	16	11	11	14	12	1	1	19	17	0	0	18	17	6	6	3	3	10	10	5	5	1	1	7	7	8	8	7	7	4	4	9	9	17	17	10	10	8	8	5	5	21	20	17	17	9	9	7	7	12	11	4	4	14	14	12	12	16	16	11	11	7	7	3	3	15	15	5	5	9	9	8	8	14	14	13	13	8	8	4	4	3	3	3	3	17	16	12	12	19	18	11	11	16	16	1	1	12	11	1	1	4	4	13	12	15	15	2	2	18	17	12	12	11	10	6	6	8	8	7	7	17	17	8	8	5	5	8	8	5	5	14	14	6	6	7	7	8	8	10	10	19	19	8	8	0	0	22	22	18	18	1	1	11	11	17	17	1	1	17	17	1	1	3	3	5	5	15	14	8	8	6	6	4	4	8	8	3	3	21	21	19	19	6	6	19	19	
24	0.98	0.04	12	11	18	17	5	5	18	17	16	15	14	12	17	17	6	6	17	15	4	4	15	14	0	0	17	16	4	4	6	6	19	19	5	5	4	4	14	14	17	17	1	1	9	9	9	9	6	6	12	12	0	0	5	5	15	14	15	14	11	11	10	10	8	8	25	24	8	8	21	21	8	8	9	9	16	16	18	18	7	7	16	16	13	12	8	8	10	10	16	16	3	3	15	14	5	5	13	13	3	3	1	1	2	2	0	0	2	2	6	6	17	16	11	11	2	2	5	5	8	8	5	5	24	21	0	0	13	12	4	4	13	13	19	19	22	20	18	18	1	1	8	8	16	14	5	5	11	11	22	22	6	6	21	21	2	2	9	9	2	2	18	18	15	15	14	14	15	15	20	20	0	0	4	4	13	13	3	3	15	15	7	7	9	9	21	19	9	9	13	13	17	15	2	2	1	1	2	2	9	8	
25	0.98	0.04	0	0	19	16	18	16	16	15	18	16	2	2	2	2	14	14	11	10	17	16	6	6	6	6	7	7	2	2	11	11	16	16	6	6	11	11	7	7	7	7	0	0	18	18	5	5	0	0	1	1	12	12	19	19	17	16	17	16	13	13	14	14	7	7	18	17	11	11	8	8	16	16	1	1	5	5	18	18	4	4	6	6	1	1	15	15	4	4	4	4	6	6	7	7	10	9	4	4	4	4	19	19	11	10	3	3	15	14	14	14	4	4	9	9	6	6	11	10	18	18	3	3	0	0	11	11	9	8	6	6	6	6	0	0	0	0	3	3	7	7	18	18	4	4	7	7	15	15	3	3	20	20	9	9	23	23	7	7	8	8	8	8	18	18	9	9	18	18	10	10	16	16	21	21	9	9	10	10	1	1	4	4	14	14	7	7	14	13	10	10	3	3	5	5	12	11	12	12	16	14	
26	0.98	0.04	13	13	11	10	3	3	8	8	14	13	12	11	18	17	5	5	8	7	16	16	10	10	15	15	1	1	2	2	7	7	5	5	7	7	14	14	12	12	15	15	6	6	6	6	13	13	0	0	11	11	0	0	8	8	11	11	18	17	18	18	1	1	13	12	17	16	6	6	8	8	11	11	0	0	16	16	11	11	16	16	9	9	12	12	11	11	7	7	5	5	4	4	13	13	26	23	7	7	1	1	1	1	8	7	16	16	11	10	12	11	12	11	13	13	21	20	13	12	4	4	4	4	18	16	8	8	9	8	15	15	7	7	7	7	9	9	5	5	3	3	14	14	5	5	11	10	5	5	14	14	11	11	8	8	3	3	4	4	7	7	9	9	12	12	5	5	11	11	0	0	13	13	16	15	17	17	8	8	23	21	3	3	14	13	18	17	1	1	13	13	10	10	18	18	9	8	2	2	0	0	
27	0.98	0.04	5	5	10	9	11	10	11	11	19	17	9	8	12	12	14	14	5	5	7	7	15	15	19	19	16	15	8	8	15	15	3	3	25	25	18	18	18	18	3	3	9	9	9	9	22	22	9	9	17	17	8	8	4	4	12	12	15	15	17	17	16	16	4	4	14	13	11	11	3	3	11	11	15	15	9	9	21	21	17	17	5	5	0	0	9	9	19	19	16	15	2	2	1	1	11	11	3	3	19	17	4	4	9	8	4	4	7	7	18	17	14	13	2	2	15	15	19	17	3	3	1	1	14	13	12	12	12	11	9	9	21	20	5	5	15	15	15	15	8	8	0	0	14	12	3	3	1	1	10	10	5	5	17	17	6	6	12	12	19	19	18	18	3	3	13	13	0	0	4	4	9	9	1	1	6	6	5	5	18	16	17	16	10	9	7	7	1	1	10	10	16	16	9	9	2	2	7	7	1	1	
