t	u_avg	u_sdev	d-g0n3	g0n3	d-g0n6	g0n6	d-g0n7	g0n7	d-g0n12	g0n12	d-g0n13	g0n13	d-g0n14	g0n14	d-g0n16	g0n16	d-g0n19	g0n19	d-g1n0	g1n0	d-g1n2	g1n2	d-g1n4	g1n4	d-g1n8	g1n8	d-g1n11	g1n11	d-g1n13	g1n13	d-g1n15	g1n15	d-g1n17	g1n17	d-g1n18	g1n18	d-g2n0	g2n0	d-g2n1	g2n1	d-g2n2	g2n2	d-g2n4	g2n4	d-g2n5	g2n5	d-g2n10	g2n10	d-g2n12	g2n12	d-g2n13	g2n13	d-g2n16	g2n16	d-g2n17	g2n17	d-g2n18	g2n18	d-g2n19	g2n19	d-g3n2	g3n2	d-g3n4	g3n4	d-g3n5	g3n5	d-g3n6	g3n6	d-g3n9	g3n9	d-g3n11	g3n11	d-g3n14	g3n14	d-g3n16	g3n16	d-g4n0	g4n0	d-g4n1	g4n1	d-g4n7	g4n7	d-g4n8	g4n8	d-g4n9	g4n9	d-g4n10	g4n10	d-g4n11	g4n11	d-g4n12	g4n12	d-g4n13	g4n13	d-g4n14	g4n14	d-g4n15	g4n15	d-g4n19	g4n19	d-g5n0	g5n0	d-g5n2	g5n2	d-g5n3	g5n3	d-g5n4	g5n4	d-g5n5	g5n5	d-g5n6	g5n6	d-g5n7	g5n7	d-g5n9	g5n9	d-g5n10	g5n10	d-g5n11	g5n11	d-g5n12	g5n12	d-g5n14	g5n14	d-g5n15	g5n15	d-g5n16	g5n16	d-g5n17	g5n17	d-g5n18	g5n18	d-g6n1	g6n1	d-g6n3	g6n3	d-g6n4	g6n4	d-g6n5	g6n5	d-g6n6	g6n6	d-g6n7	g6n7	d-g6n8	g6n8	d-g6n10	g6n10	d-g6n12	g6n12	d-g6n14	g6n14	d-g6n15	g6n15	d-g6n16	g6n16	d-g6n18	g6n18	d-g6n19	g6n19	d-g7n1	g7n1	d-g7n3	g7n3	d-g7n13	g7n13	d-g7n15	g7n15	d-g7n17	g7n17	d-g8n0	g8n0	d-g8n3	g8n3	d-g8n6	g8n6	d-g8n7	g8n7	d-g8n8	g8n8	d-g8n9	g8n9	d-g9n1	g9n1	d-g9n2	g9n2	d-g9n5	g9n5	d-g9n8	g9n8	d-g9n9	g9n9	d-g9n10	g9n10	d-g9n11	g9n11	d-g9n17	g9n17	d-g9n18	g9n18	d-g9n19	g9n19	
10	1.00	0.00	0	0	0	0	2	2	6	6	1	1	2	2	3	3	7	7	0	0	8	8	2	2	5	5	6	6	1	1	6	6	0	0	7	7	8	8	5	5	4	4	1	1	4	4	2	2	4	4	1	1	4	4	4	4	8	8	0	0	1	1	1	1	6	6	7	7	4	4	2	2	8	8	2	2	6	6	8	8	6	6	0	0	3	3	4	4	5	5	8	8	0	0	3	3	0	0	4	4	0	0	3	3	4	4	8	8	1	1	4	4	0	0	3	3	3	3	4	4	8	8	3	3	1	1	0	0	2	2	6	6	7	7	5	5	7	7	7	7	1	1	7	7	1	1	7	7	3	3	8	8	4	4	3	3	8	8	8	8	3	3	4	4	8	8	5	5	8	8	3	3	3	3	6	6	5	5	2	2	7	7	2	2	6	6	8	8	8	8	5	5	0	0	0	0	5	5	0	0	4	4	
11	1.00	0.00	6	6	4	4	2	2	7	7	0	0	4	4	5	5	6	6	1	1	6	6	8	8	6	6	4	4	5	5	6	6	7	7	7	7	0	0	1	1	1	1	2	2	0	0	3	3	2	2	0	0	6	6	3	3	1	1	4	4	2	2	7	7	5	5	1	1	1	1	7	7	6	6	8	8	7	7	1	1	7	7	5	5	1	1	3	3	0	0	3	3	4	4	1	1	0	0	1	1	4	4	6	6	0	0	7	7	2	2	8	8	4	4	8	8	7	7	8	8	1	1	3	3	3	3	1	1	1	1	6	6	5	5	7	7	2	2	2	2	1	1	2	2	7	7	2	2	8	8	1	1	8	8	6	6	6	6	0	0	6	6	3	3	1	1	3	3	6	6	6	6	8	8	6	6	2	2	7	7	3	3	2	2	0	0	1	1	5	5	0	0	0	0	5	5	1	1	6	6	0	0	
12	1.00	0.00	1	1	5	5	6	6	1	1	7	7	4	4	4	4	8	8	0	0	5	5	0	0	2	2	6	6	0	0	4	4	0	0	3	3	7	7	0	0	1	1	2	2	4	4	7	7	3	3	2	2	5	5	1	1	3	3	5	5	4	4	3	3	3	3	6	6	4	4	7	7	1	1	6	6	2	2	3	3	7	7	3	3	6	6	2	2	3	3	0	0	0	0	1	1	8	8	4	4	3	3	7	7	1	1	3	3	0	0	4	4	8	8	6	6	8	8	3	3	3	3	7	7	4	4	3	3	8	8	0	0	1	1	6	6	4	4	3	3	4	4	5	5	1	1	7	7	8	8	4	4	3	3	4	4	8	8	7	7	7	7	4	4	0	0	6	6	7	7	0	0	1	1	6	6	1	1	7	7	1	1	3	3	3	3	8	8	6	6	6	6	0	0	7	7	4	4	2	2	1	1	
13	1.00	0.00	0	0	7	7	3	3	3	3	8	8	1	1	2	2	8	8	7	7	4	4	6	6	4	4	3	3	7	7	6	6	4	4	8	8	3	3	5	5	3	3	4	4	6	6	5	5	5	5	6	6	2	2	0	0	0	0	6	6	6	6	4	4	7	7	2	2	2	2	0	0	6	6	8	8	0	0	5	5	6	6	2	2	0	0	2	2	7	7	7	7	5	5	3	3	2	2	7	7	5	5	4	4	7	7	5	5	8	8	5	5	8	8	7	7	1	1	0	0	5	5	3	3	8	8	8	8	1	1	3	3	1	1	1	1	2	2	8	8	3	3	3	3	7	7	7	7	5	5	1	1	8	8	1	1	8	8	8	8	5	5	7	7	0	0	7	7	0	0	8	8	7	7	3	3	7	7	7	7	8	8	7	7	4	4	3	3	7	7	4	4	6	6	2	2	4	4	4	4	7	7	
14	1.00	0.00	1	1	0	0	8	8	7	7	5	5	2	2	5	5	0	0	5	5	4	4	7	7	6	6	2	2	1	1	5	5	0	0	2	2	3	3	0	0	3	3	0	0	7	7	5	5	8	8	7	7	6	6	0	0	2	2	7	7	7	7	2	2	7	7	7	7	3	3	1	1	1	1	6	6	5	5	8	8	8	8	6	6	0	0	6	6	7	7	2	2	8	8	1	1	2	2	6	6	6	6	2	2	4	4	6	6	7	7	2	2	4	4	0	0	2	2	5	5	1	1	5	5	0	0	6	6	0	0	7	7	1	1	4	4	3	3	6	6	0	0	6	6	5	5	8	8	8	8	5	5	5	5	1	1	8	8	3	3	7	7	2	2	6	6	8	8	4	4	4	4	3	3	0	0	8	8	1	1	5	5	4	4	5	5	0	0	2	2	7	7	0	0	2	2	2	2	3	3	7	7	
15	1.00	0.00	6	6	6	6	0	0	0	0	7	7	7	7	3	3	1	1	5	5	6	6	6	6	1	1	8	8	5	5	0	0	1	1	5	5	6	6	8	8	4	4	5	5	2	2	2	2	7	7	1	1	2	2	0	0	4	4	0	0	4	4	1	1	7	7	1	1	8	8	1	1	1	1	6	6	0	0	7	7	2	2	3	3	1	1	3	3	2	2	0	0	4	4	7	7	0	0	5	5	2	2	1	1	0	0	8	8	6	6	1	1	8	8	7	7	5	5	7	7	8	8	6	6	7	7	8	8	3	3	2	2	7	7	2	2	6	6	5	5	6	6	6	6	4	4	0	0	0	0	5	5	6	6	5	5	5	5	6	6	5	5	5	5	7	7	1	1	8	8	4	4	6	6	4	4	8	8	2	2	4	4	8	8	8	8	0	0	3	3	8	8	0	0	3	3	3	3	7	7	1	1	
16	1.00	0.00	7	7	8	8	4	4	1	1	4	4	0	0	7	7	6	6	5	5	0	0	2	2	1	1	6	6	7	7	3	3	4	4	8	8	0	0	7	7	7	7	8	8	4	4	2	2	6	6	1	1	8	8	2	2	6	6	8	8	4	4	2	2	0	0	2	2	7	7	2	2	6	6	8	8	5	5	2	2	2	2	5	5	8	8	1	1	7	7	4	4	4	4	3	3	4	4	3	3	1	1	1	1	0	0	8	8	5	5	8	8	1	1	1	1	1	1	0	0	3	3	1	1	0	0	3	3	1	1	2	2	2	2	0	0	7	7	4	4	6	6	3	3	3	3	7	7	5	5	6	6	7	7	6	6	4	4	0	0	8	8	8	8	8	8	8	8	8	8	1	1	7	7	6	6	4	4	4	4	1	1	4	4	3	3	2	2	4	4	6	6	5	5	5	5	8	8	4	4	5	5	
17	1.00	0.00	4	4	6	6	0	0	0	0	8	8	8	8	3	3	4	4	5	5	0	0	3	3	6	6	7	7	8	8	5	5	2	2	2	2	4	4	6	6	2	2	6	6	5	5	2	2	3	3	7	7	5	5	5	5	6	6	2	2	0	0	6	6	6	6	6	6	1	1	2	2	5	5	5	5	3	3	5	5	2	2	6	6	0	0	7	7	6	6	1	1	8	8	1	1	7	7	2	2	7	7	8	8	0	0	0	0	6	6	2	2	6	6	4	4	8	8	6	6	4	4	4	4	5	5	7	7	0	0	5	5	2	2	3	3	7	7	4	4	5	5	0	0	5	5	2	2	6	6	8	8	8	8	5	5	7	7	8	8	1	1	6	6	5	5	8	8	0	0	0	0	7	7	0	0	2	2	3	3	3	3	2	2	4	4	8	8	6	6	4	4	7	7	8	8	5	5	5	5	8	8	
18	1.00	0.00	1	1	6	6	7	7	5	5	0	0	4	4	8	8	2	2	8	8	3	3	6	6	2	2	6	6	5	5	0	0	6	6	6	6	8	8	8	8	5	5	3	3	5	5	0	0	4	4	6	6	2	2	6	6	1	1	7	7	7	7	8	8	6	6	6	6	1	1	0	0	4	4	2	2	4	4	6	6	2	2	3	3	2	2	5	5	5	5	1	1	6	6	2	2	7	7	2	2	4	4	2	2	4	4	2	2	7	7	8	8	4	4	4	4	6	6	4	4	0	0	7	7	1	1	5	5	3	3	3	3	5	5	1	1	6	6	7	7	5	5	2	2	4	4	6	6	2	2	1	1	3	3	8	8	8	8	1	1	6	6	4	4	8	8	4	4	4	4	4	4	2	2	4	4	4	4	0	0	8	8	0	0	8	8	6	6	5	5	6	6	5	5	3	3	4	4	3	3	4	4	
19	1.00	0.00	8	8	3	3	2	2	8	8	8	8	2	2	5	5	2	2	1	1	5	5	0	0	3	3	2	2	5	5	8	8	7	7	2	2	7	7	1	1	0	0	1	1	3	3	1	1	4	4	0	0	5	5	8	8	4	4	3	3	5	5	1	1	8	8	5	5	4	4	3	3	0	0	3	3	7	7	2	2	3	3	1	1	3	3	8	8	8	8	8	8	0	0	8	8	3	3	6	6	6	6	8	8	0	0	1	1	4	4	0	0	2	2	6	6	6	6	5	5	7	7	1	1	0	0	1	1	4	4	0	0	4	4	6	6	3	3	3	3	6	6	4	4	7	7	7	7	1	1	1	1	6	6	2	2	3	3	1	1	6	6	3	3	6	6	3	3	2	2	5	5	5	5	0	0	4	4	4	4	8	8	1	1	1	1	2	2	8	8	1	1	8	8	4	4	6	6	2	2	1	1	
20	1.00	0.00	6	6	0	0	1	1	0	0	0	0	4	4	3	3	5	5	0	0	8	8	7	7	1	1	4	4	7	7	4	4	6	6	5	5	2	2	0	0	4	4	1	1	1	1	0	0	6	6	0	0	2	2	2	2	5	5	6	6	6	6	0	0	8	8	8	8	3	3	7	7	8	8	6	6	4	4	2	2	7	7	2	2	7	7	7	7	7	7	3	3	3	3	1	1	4	4	7	7	8	8	8	8	8	8	2	2	0	0	0	0	2	2	7	7	8	8	3	3	8	8	4	4	1	1	2	2	3	3	5	5	1	1	3	3	5	5	5	5	1	1	4	4	3	3	0	0	8	8	2	2	8	8	5	5	0	0	1	1	5	5	3	3	1	1	2	2	4	4	1	1	0	0	7	7	2	2	8	8	8	8	4	4	2	2	2	2	1	1	3	3	7	7	2	2	6	6	5	5	4	4	
21	1.00	0.00	5	5	7	7	2	2	5	5	1	1	8	8	5	5	4	4	1	1	6	6	2	2	7	7	6	6	5	5	8	8	0	0	4	4	7	7	2	2	8	8	1	1	7	7	6	6	8	8	8	8	6	6	0	0	5	5	5	5	8	8	7	7	0	0	7	7	5	5	7	7	7	7	5	5	7	7	7	7	8	8	5	5	7	7	8	8	4	4	7	7	0	0	5	5	8	8	1	1	3	3	7	7	7	7	5	5	6	6	4	4	3	3	5	5	1	1	3	3	7	7	3	3	4	4	5	5	2	2	6	6	1	1	8	8	0	0	0	0	4	4	5	5	8	8	8	8	3	3	4	4	8	8	5	5	7	7	2	2	8	8	3	3	8	8	0	0	7	7	3	3	8	8	7	7	7	7	3	3	5	5	3	3	2	2	2	2	8	8	4	4	1	1	8	8	5	5	7	7	8	8	
22	1.00	0.00	6	6	2	2	1	1	4	4	8	8	3	3	6	6	0	0	7	7	0	0	2	2	3	3	2	2	0	0	1	1	0	0	3	3	2	2	4	4	6	6	1	1	0	0	3	3	1	1	4	4	5	5	1	1	5	5	8	8	5	5	7	7	3	3	1	1	0	0	1	1	5	5	1	1	2	2	5	5	5	5	0	0	1	1	2	2	3	3	5	5	5	5	6	6	0	0	4	4	0	0	3	3	1	1	0	0	3	3	4	4	2	2	7	7	3	3	2	2	4	4	0	0	4	4	6	6	6	6	4	4	0	0	7	7	2	2	1	1	6	6	5	5	6	6	2	2	4	4	2	2	7	7	6	6	2	2	3	3	2	2	7	7	4	4	1	1	7	7	1	1	1	1	4	4	6	6	3	3	6	6	8	8	6	6	8	8	0	0	2	2	8	8	4	4	4	4	5	5	7	7	
23	1.00	0.00	8	8	5	5	5	5	5	5	1	1	7	7	3	3	6	6	1	1	7	7	7	7	3	3	1	1	8	8	3	3	8	8	8	8	3	3	8	8	6	6	0	0	4	4	4	4	1	1	6	6	4	4	5	5	8	8	8	8	5	5	4	4	7	7	8	8	3	3	4	4	8	8	8	8	6	6	6	6	0	0	5	5	5	5	1	1	3	3	4	4	4	4	3	3	7	7	2	2	8	8	3	3	6	6	5	5	2	2	0	0	1	1	2	2	0	0	2	2	3	3	7	7	3	3	6	6	7	7	6	6	1	1	6	6	0	0	1	1	7	7	0	0	7	7	2	2	4	4	7	7	3	3	6	6	2	2	2	2	0	0	6	6	1	1	4	4	7	7	2	2	3	3	0	0	1	1	7	7	7	7	2	2	6	6	8	8	4	4	0	0	3	3	2	2	1	1	7	7	1	1	
24	1.00	0.00	1	1	1	1	2	2	6	6	1	1	8	8	6	6	2	2	5	5	7	7	2	2	5	5	2	2	3	3	3	3	6	6	7	7	5	5	2	2	6	6	0	0	3	3	0	0	2	2	5	5	0	0	8	8	0	0	8	8	0	0	2	2	5	5	6	6	7	7	6	6	0	0	2	2	4	4	3	3	0	0	6	6	4	4	2	2	7	7	0	0	5	5	7	7	0	0	1	1	0	0	6	6	3	3	8	8	2	2	5	5	2	2	7	7	6	6	3	3	8	8	2	2	5	5	1	1	7	7	1	1	5	5	0	0	3	3	8	8	6	6	0	0	3	3	2	2	2	2	0	0	7	7	7	7	0	0	4	4	2	2	2	2	6	6	7	7	2	2	4	4	2	2	1	1	7	7	3	3	5	5	8	8	5	5	8	8	7	7	7	7	3	3	7	7	6	6	0	0	0	0	
25	1.00	0.00	7	7	6	6	5	5	2	2	3	3	0	0	4	4	7	7	6	6	2	2	4	4	7	7	1	1	2	2	8	8	2	2	7	7	4	4	3	3	2	2	2	2	5	5	1	1	8	8	1	1	3	3	2	2	4	4	8	8	8	8	2	2	0	0	1	1	7	7	1	1	3	3	8	8	0	0	2	2	6	6	2	2	5	5	6	6	6	6	7	7	2	2	4	4	1	1	2	2	0	0	7	7	2	2	3	3	8	8	8	8	2	2	4	4	4	4	6	6	1	1	6	6	1	1	1	1	1	1	8	8	6	6	1	1	4	4	6	6	7	7	1	1	5	5	4	4	7	7	4	4	4	4	0	0	0	0	6	6	6	6	5	5	0	0	2	2	3	3	7	7	1	1	2	2	2	2	3	3	2	2	2	2	6	6	6	6	1	1	4	4	8	8	0	0	1	1	3	3	5	5	
26	1.00	0.00	4	4	1	1	6	6	5	5	2	2	0	0	2	2	0	0	1	1	2	2	3	3	3	3	4	4	1	1	8	8	4	4	7	7	5	5	4	4	5	5	0	0	1	1	8	8	2	2	1	1	7	7	4	4	7	7	0	0	6	6	2	2	7	7	7	7	0	0	6	6	5	5	2	2	1	1	7	7	5	5	3	3	7	7	3	3	4	4	1	1	5	5	2	2	6	6	0	0	1	1	3	3	3	3	4	4	8	8	3	3	5	5	3	3	3	3	7	7	7	7	2	2	0	0	2	2	1	1	6	6	2	2	4	4	7	7	2	2	8	8	5	5	7	7	6	6	0	0	3	3	0	0	3	3	2	2	3	3	7	7	6	6	0	0	5	5	8	8	4	4	6	6	0	0	0	0	2	2	6	6	7	7	7	7	8	8	5	5	3	3	7	7	1	1	8	8	2	2	3	3	
27	1.00	0.00	6	6	4	4	2	2	7	7	8	8	0	0	3	3	8	8	4	4	1	1	2	2	8	8	3	3	7	7	4	4	3	3	3	3	5	5	2	2	1	1	4	4	5	5	5	5	4	4	4	4	2	2	3	3	8	8	7	7	2	2	7	7	7	7	7	7	0	0	2	2	0	0	5	5	1	1	1	1	5	5	4	4	2	2	3	3	6	6	6	6	2	2	8	8	8	8	4	4	1	1	0	0	1	1	1	1	2	2	8	8	0	0	4	4	8	8	3	3	5	5	6	6	5	5	8	8	4	4	7	7	4	4	4	4	8	8	0	0	6	6	7	7	7	7	2	2	8	8	3	3	1	1	3	3	6	6	0	0	3	3	6	6	4	4	2	2	5	5	1	1	8	8	5	5	1	1	2	2	3	3	1	1	0	0	5	5	2	2	7	7	0	0	5	5	6	6	6	6	0	0	
